,book_id,genre,Book-Rating,book_title,generic_genre
0,4081,Science Fiction,,Blade Runner 3: Replicant Night,Science Fiction
0,4081,Speculative fiction,,Blade Runner 3: Replicant Night,Science Fiction
4,4386,Religious text,,Book of Job,Other
8,6630,Science Fiction,7.916666666666667,Chapterhouse Dune,Science Fiction
8,6630,Speculative fiction,7.916666666666667,Chapterhouse Dune,Science Fiction
8,6630,Children's literature,7.916666666666667,Chapterhouse Dune,Children's Literature
8,6630,Fiction,7.916666666666667,Chapterhouse Dune,Fiction
10,8757,Philosophy,,Darwin's Dangerous Idea,Philosophy
10,8757,Science,,Darwin's Dangerous Idea,Science
11,11745,Fantasy,,Farmer Giles of Ham,Fantasy
11,11745,Fiction,,Farmer Giles of Ham,Fiction
12,12653,Science Fiction,5.0,God Emperor of Dune,Science Fiction
12,12653,Speculative fiction,5.0,God Emperor of Dune,Science Fiction
12,12653,Children's literature,5.0,God Emperor of Dune,Children's Literature
12,12653,Fiction,5.0,God Emperor of Dune,Fiction
15,20361,Adventure novel,,Moonfleet,Adventure
18,38114,Novel,,Keep the Aspidistra Flying,Novel
19,38279,Computer Science,,"Lions' Commentary on UNIX 6th Edition, with Source Code",Other
20,38615,Existentialism,8.0,The Myth of Sisyphus,Other
22,42572,Speculative fiction,8.333333333333334,The Eye of the World,Science Fiction
22,42572,Fantasy,8.333333333333334,The Eye of the World,Fantasy
22,42572,High fantasy,8.333333333333334,The Eye of the World,Fantasy
23,42573,Speculative fiction,8.541666666666666,The Great Hunt,Science Fiction
23,42573,Fantasy,8.541666666666666,The Great Hunt,Fantasy
24,42574,Speculative fiction,,A Crown of Swords,Science Fiction
24,42574,Fantasy,,A Crown of Swords,Fantasy
25,42575,Speculative fiction,,Winter's Heart,Science Fiction
25,42575,Fantasy,,Winter's Heart,Fantasy
26,42906,Horror,,The Queen of the Damned,Horror
26,42906,Supernatural,,The Queen of the Damned,Other
26,42906,Speculative fiction,,The Queen of the Damned,Science Fiction
